T. Courtois
É. Mendy
G. Donnarumma
W. Szczęsny
K. Navas
H. Lloris
Alisson
M. ter Stegen
M. Neuer
P. Gulácsi
E. Martínez
Ederson
M. Maignan
K. Trapp
De Gea
J. Oblak
Lucas Vázquez
Pedro Porro
R. James
J. Frimpong
A. Hakimi
D. Dumfries
K. Walker
João Cancelo
N. Mazraoui
L. Spinazzola
K. Trippier
Ricardo Pereira
G. Di Lorenzo
T. Alexander-Arnold
Azpilicueta
Carvajal
A. Rüdiger
Iñigo Martínez
M. Akanji
M. Hummels
S. Savić
Éder Militão
A. Laporte
Rúben Dias
R. Varane
P. Kimpembe
Thiago Silva
J. Matip
J. Koundé
N. Süle
S. de Vrij
S. Botman
D. Alaba
G. Chiellini
A. Romagnoli
K. Koulibaly
M. Ginter
C. Romero
V. van Dijk
M. de Ligt
L. Bonucci
Sergio Ramos
L. Martínez (ZAG)
F. Tomori
Marquinhos
Bremer
M. Škriniar
J. Stones
A. Davies
Gayà
R. Guerreiro
Yuri Berchiche
M. Acuña
Nuno Mendes
A. Robertson
B. Chilwell
F. Mendy
D. Raum
Grimaldo
Angeliño
T. Hernández
Jordi Alba
L. Shaw
Álex Moreno
M. Brozović
P. Zieliński
J. Kimmich
Thiago
E. Can
K. Laimer
Bernardo Silva
N. Kanté
J. Bellingham
L. Torreira
Sergio Busquets
L. Pellegrini
Parejo
Jorginho
Luis Alberto
Rodri
M. Verratti
Sergi Darder
G. Kondogbia
F. Kessié
Y. Tielemans
L. Modrić
Fabinho
N. Barella
T. Partey
F. Wirtz
D. Rice
L. Goretzka
Pedri
T. Kroos
S. Milinković-Savić
Casemiro
Ferran Torres
Rafael Leão
Gerard Moreno
S. Gnabry
Canales
B. Saka
M. Salah
L. Messi
J. Maddison
Pedro Gonçalves
R. Mahrez
D. Berardi
L. Sané
Á. Di María
Raphinha
P. Foden
J. Brandt
Muniain
C. Nkunku
T. Müller
P. Pogba
J. Musiala
K. De Bruyne
Bruno Fernandes
M. Reus
N. Fekir
İ. Gündoğan
K. Havertz
M. Ødegaard
Coutinho
C. Vela
F. de Jong
F. Kostić
M. Rashford
K. Coman
D. Mertens
Oyarzabal
Rafa
F. Valverde
Neymar Jr
M. Diaby
S. Berghuis
F. Chiesa
J. Grealish
S. Mané
R. Sterling
Vinícius Jr.
M. Depay
E. Haaland
K. Mbappé
Cristiano Ronaldo
C. Immobile
W. Ben Yedder
L. Martínez (ATA)
K. Benzema
R. Lewandowski
Gabriel Jesus
S. Haller
P. Dybala
D. Vlahović
H. Kane
R. Lukaku
A. Griezmann
Morata
O. Vlachodimos
S. Handanovič
O. Baumann
Unai Simón
K. Casteels
N. Pope
G. Kobel
Y. Bounou
A. Ramsdale
A. Onana
K. Schmeichel
José Sá
A. Areola
J. Pickford
Álex Remiro
L. Hrádecký
Jesús Navas
H. Hateboer
T. Lamptey
J. Cuadrado
B. White
H. Traoré
B. Pavard
Nélson Semedo
D. Calabria
R. Baku
G. Montiel
N. Mukiele
M. Simakan
Danilo
Odriozola
L. Geertruida
I. Konaté
J. Gomez
V. Lindelöf
F. Acerbi
Diego Carlos
António Silva
L. Hernández
J. Gvardiol
Gabriel
N. Schlotterbeck
Kim Min Jae
R. Le Normand
Pau Torres
A. Christensen
J. Tah
J. Timber
R. Araujo
E. Ndicka
Marc Bartra
J. Giménez
Felipe
W. Orban
L. Digne
A. Bastoni
N. Aké
Gonçalo Inácio
W. Saliba
Nacho Fernández
Gabriel Paulista
N. Otamendi
S. Coates
Mario Hermoso
Marcos Alonso
N. Tagliafico
E. Fernández
Reinildo
E. Álvarez
A. Marušić
