ATA,M. Nzola,6.0,River Plate,Estudiantes,SC
ATA,L. Martínez,7.0,River Plate,Estudiantes,SC
MEI,J. Musiala,6.1,River Plate,Estudiantes,SC
ME,Rafa,5.3,River Plate,Estudiantes,SC
ME,Gabriel Jesus,7.1,River Plate,Estudiantes,SC
MD,Nico Williams,6.4,River Plate,Estudiantes,SC
MD,B. Saka,5.9,River Plate,Estudiantes,SC
VLE,K. Laimer,6.4,River Plate,Estudiantes,SC
VLD,S. Lobotka,6.6,River Plate,Estudiantes,SC
LE,Nuno Mendes,5.9,River Plate,Estudiantes,SC
ZGE,Éder Militão,6.5,River Plate,Estudiantes,SC
ZGD,C. Romero,6.8,River Plate,Estudiantes,SC
LD,D. Dumfries,5.7,River Plate,Estudiantes,SC
GOL,H. Lloris,6.5,River Plate,Estudiantes,SC
ATA,K. Mbappé,8.2,Estudiantes,River Plate,SC
MAE,Rafael Leão,7.5,Estudiantes,River Plate,SC
MAD,C. Pulisic,6.0,Estudiantes,River Plate,SC
MAD,R. Kolo Muani,7.0,Estudiantes,River Plate,SC
MCE,Mikel Merino,7.9,Estudiantes,River Plate,SC
MC,A. Tchouaméni,7.1,Estudiantes,River Plate,SC
MCD,N. Fekir,6.0,Estudiantes,River Plate,SC
MCD,H. Çalhanoğlu,7.0,Estudiantes,River Plate,SC
LE,Balde,7.7,Estudiantes,River Plate,SC
ZGE,N. Schlotterbeck,6.9,Estudiantes,River Plate,SC
ZGD,W. Saliba,6.6,Estudiantes,River Plate,SC
LD,F. Mendy,7.6,Estudiantes,River Plate,SC
GOL,É. Mendy,6.3,Estudiantes,River Plate,SC
ATA,W. Ben Yedder,7.0,Rosario Central,Arsenal de Sarandi,SC
MEE,Oyarzabal,8.2,Rosario Central,Arsenal de Sarandi,SC
MEI,Canales,6.5,Rosario Central,Arsenal de Sarandi,SC
MED,W. Zaha,7.7,Rosario Central,Arsenal de Sarandi,SC
VLE,Y. Tielemans,6.7,Rosario Central,Arsenal de Sarandi,SC
VLD,P. Pogba,6.8,Rosario Central,Arsenal de Sarandi,SC
LE,M. Acuña,6.5,Rosario Central,Arsenal de Sarandi,SC
ZGE,S. Savić,6.7,Rosario Central,Arsenal de Sarandi,SC
ZGD,M. Ginter,6.8,Rosario Central,Arsenal de Sarandi,SC
LD,A. Hakimi,8.1,Rosario Central,Arsenal de Sarandi,SC
GOL,K. Navas,6.2,Rosario Central,Arsenal de Sarandi,SC
PE,N. González,6.7,Arsenal de Sarandi,Rosario Central,SC
ATA,A. Isak,6.1,Arsenal de Sarandi,Rosario Central,SC
PD,Pedro Gonçalves,7.7,Arsenal de Sarandi,Rosario Central,SC
SA,Anderson Talisca,7.4,Arsenal de Sarandi,Rosario Central,SC
MCE,N. Zaniolo,7.4,Arsenal de Sarandi,Rosario Central,SC
MCD,Muniain,6.0,Arsenal de Sarandi,Rosario Central,SC
LE,L. Spinazzola,7.5,Arsenal de Sarandi,Rosario Central,SC
ZGE,Sergio Ramos,7.4,Arsenal de Sarandi,Rosario Central,SC
ZGD,E. Camavinga,7.9,Arsenal de Sarandi,Rosario Central,SC
ZGD,P. Kimpembe,6.0,Arsenal de Sarandi,Rosario Central,SC
LD,R. Baku,6.4,Arsenal de Sarandi,Rosario Central,SC
GOL,A. Onana,6.4,Arsenal de Sarandi,Rosario Central,SC
ATA,K. Mbappé,8.1,Estudiantes,River Plate,SC
MAE,Rafael Leão,8.1,Estudiantes,River Plate,SC
MAD,C. Pulisic,6.0,Estudiantes,River Plate,SC
MAD,R. Kolo Muani,6.4,Estudiantes,River Plate,SC
MCE,A. Tchouaméni,6.1,Estudiantes,River Plate,SC
MC,Mikel Merino,7.2,Estudiantes,River Plate,SC
