PE,Neymar Jr,7.8,Racing,Independiente,A
ATA,R. Lewandowski,6.9,Racing,Independiente,A
PD,H. Son,7.2,Racing,Independiente,A
MEI,L. Messi,8.1,Racing,Independiente,A
MCE,N. Barella,7.8,Racing,Independiente,A
VOL,N. Kanté,6.7,Racing,Independiente,A
LE,Mário Rui,6.5,Racing,Independiente,A
ZGE,Rúben Dias,7.7,Racing,Independiente,A
ZGD,A. Bastoni,6.4,Racing,Independiente,A
LD,João Cancelo,6.2,Racing,Independiente,A
GOL,M. ter Stegen,6.7,Racing,Independiente,A
PE,C. Gakpo,9.0,Independiente,Racing,A
ATA,M. Depay,8.6,Independiente,Racing,A
PD,P. Foden,8.3,Independiente,Racing,A
MC,F. de Jong,8.2,Independiente,Racing,A
VLE,Casemiro,8.0,Independiente,Racing,A
VLD,Rodri,7.0,Independiente,Racing,A
LE,Álex Moreno,8.3,Independiente,Racing,A
ZGE,S. Botman,7.3,Independiente,Racing,A
ZGD,J. Stones,7.3,Independiente,Racing,A
LD,Carvajal,7.8,Independiente,Racing,A
GOL,J. Oblak,6.3,Independiente,Racing,A
ATA,V. Osimhen,7.7,Boca Juniors,Estudiantes,A
ATA,K. Benzema,7.4,Boca Juniors,Estudiantes,A
MAE,Rodrygo,6.2,Boca Juniors,Estudiantes,A
MAD,S. Chukwueze,5.6,Boca Juniors,Estudiantes,A
MAD,M. Salah,7.4,Boca Juniors,Estudiantes,A
MCE,F. Valverde,5.7,Boca Juniors,Estudiantes,A
MCE,Bernardo Silva,7.5,Boca Juniors,Estudiantes,A
MC,P. Højbjerg,6.0,Boca Juniors,Estudiantes,A
MC,Fabinho,6.6,Boca Juniors,Estudiantes,A
MCD,K. De Bruyne,7.7,Boca Juniors,Estudiantes,A
LE,A. Robertson,6.1,Boca Juniors,Estudiantes,A
ZGE,V. van Dijk,7.0,Boca Juniors,Estudiantes,A
ZGD,D. Upamecano,6.0,Boca Juniors,Estudiantes,A
ZGD,A. Laporte,6.4,Boca Juniors,Estudiantes,A
LD,K. Walker,7.0,Boca Juniors,Estudiantes,A
GOL,G. Kobel,5.9,Boca Juniors,Estudiantes,A
ATE,K. Mbappé,6.5,Estudiantes,Boca Juniors,A
ATD,Rafael Leão,7.6,Estudiantes,Boca Juniors,A
ME,M. Rashford,6.9,Estudiantes,Boca Juniors,A
MCE,Anderson Talisca,6.0,Estudiantes,Boca Juniors,A
MCE,Carlos Soler,6.2,Estudiantes,Boca Juniors,A
MCD,P. Zieliński,5.8,Estudiantes,Boca Juniors,A
MCD,A. Rabiot,6.9,Estudiantes,Boca Juniors,A
MCD,Y. Carrasco,6.4,Estudiantes,Boca Juniors,A
MD,R. Kolo Muani,5.7,Estudiantes,Boca Juniors,A
LE,Balde,6.8,Estudiantes,Boca Juniors,A
ZGE,Iñigo Martínez,6.4,Estudiantes,Boca Juniors,A
ZGD,E. Ndicka,6.3,Estudiantes,Boca Juniors,A
ZGD,J. Gomez,6.0,Estudiantes,Boca Juniors,A
LD,Pedro Porro,6.9,Estudiantes,Boca Juniors,A
LD,Fran Garcia,6.4,Estudiantes,Boca Juniors,A
GOL,É. Mendy,6.6,Estudiantes,Boca Juniors,A
PE,Neymar Jr,7.2,Racing,Boca Juniors,A
