PE,D. Núñez,8.1,Tigre,Huracan,B
ATA,D. Vlahović,8.2,Tigre,Huracan,B
PD,K. Coman,7.4,Tigre,Huracan,B
MEI,D. Szoboszlai,7.6,Tigre,Huracan,B
MEI,C. Nkunku,7.8,Tigre,Huracan,B
MCE,Casemiro,7.4,Tigre,Huracan,B
MCD,J. Kimmich,7.2,Tigre,Huracan,B
LE,R. Guerreiro,8.9,Tigre,Huracan,B
ZGE,Mario Hermoso,7.3,Tigre,Huracan,B
ZGD,M. Akanji,7.9,Tigre,Huracan,B
LD,R. James,8.2,Tigre,Huracan,B
GOL,G. Donnarumma,7.1,Tigre,Huracan,B
PE,M. Diaby,8.2,Huracan,Tigre,B
ATA,R. Lewandowski,7.9,Huracan,Tigre,B
PD,L. Sané,6.8,Huracan,Tigre,B
MEI,J. Maddison,5.8,Huracan,Tigre,B
MEI,M. Reus,7.1,Huracan,Tigre,B
MCE,R. De Paul,5.8,Huracan,Tigre,B
MCE,T. Partey,6.1,Huracan,Tigre,B
MCD,L. Pellegrini,5.8,Huracan,Tigre,B
MCD,Bruno Guimarães,6.7,Huracan,Tigre,B
LE,D. Calabria,7.0,Huracan,Tigre,B
ZGE,R. Varane,7.0,Huracan,Tigre,B
ZGD,M. de Ligt,7.0,Huracan,Tigre,B
LD,N. Mazraoui,7.6,Huracan,Tigre,B
GOL,M. Neuer,5.7,Huracan,Tigre,B
ATA,E. Haaland,9.0,Defensa Y Justicia,Lanus,B
MEI,J. Brandt,7.2,Defensa Y Justicia,Lanus,B
ME,Ferran Torres,7.3,Defensa Y Justicia,Lanus,B
MCE,M. Verratti,6.0,Defensa Y Justicia,Lanus,B
MCD,Thiago,7.4,Defensa Y Justicia,Lanus,B
MD,A. Danjuma,7.2,Defensa Y Justicia,Lanus,B
LE,A. Davies,7.3,Defensa Y Justicia,Lanus,B
ZGE,D. Alaba,6.1,Defensa Y Justicia,Lanus,B
ZGD,A. Rüdiger,7.0,Defensa Y Justicia,Lanus,B
LD,Diogo Dalot,6.8,Defensa Y Justicia,Lanus,B
GOL,T. Courtois,7.3,Defensa Y Justicia,Lanus,B
ATA,A. Griezmann,7.1,Lanus,Defensa Y Justicia,B
ME,S. Mané,6.2,Lanus,Defensa Y Justicia,B
